plane,from_state,via_target,to_state,evidence_addr,confidence,notes,source
control,START,entry,B0_ENTRY,0x0004ac60,H,function entry,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_edges.csv
control,B0_ENTRY,fallthrough,B1_ACTION,0x0004ac60,H,entry complete,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_edges.csv
control,B1_ACTION,fallthrough,B2_RETURN,0x0004acb5,H,actions complete,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_edges.csv
control,B2_RETURN,ret,RET,0x0004acb5,H,return,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_edges.csv
param,self_object,write,module_state_fields,0x0004ac60,H,this-pointer method updates/reads module state,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_param_edges.csv
call,B1_ACTION,write,helper_calls,0x0004ac60,H,see call list for helper interactions,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_param_edges.csv
return,B2_RETURN,write,return_value_or_void,0x0004acb5,H,method return,V90ConstellationDesigner_findConstelMaxValueIndex_state_graph_param_edges.csv
